State,Year,Value
Madhya Pradesh,2009-10(BE),48735
Maharashtra,2009-10(BE),119762
Orissa,2009-10(BE),32798
Punjab,2009-10(BE),35684
Rajasthan,2009-10(BE),49737
Tamil Nadu,2009-10(BE),73628
Uttar Pradesh,2009-10(BE),121597
West Bengal,2009-10(BE),70922
Arunachal Pradesh,2009-10(BE),4571
Assam,2009-10(BE),34936
Himachal Pradesh,2009-10(BE),13075
Jammu and Kashmir,2009-10(BE),22378
Manipur,2009-10(BE),4529
Meghalaya,2009-10(BE),4582
Mizoram,2009-10(BE),3487
Nagaland,2009-10(BE),4777
Sikkim,2009-10(BE),3533
Tripura,2009-10(BE),6084
Uttarakhand,2009-10(BE),14037
NCT Delhi,2009-10(BE),23043
Puducherry,2009-10(BE),4108
