State,Year,Value
Kerala,2002-03,14756
Madhya Pradesh,2002-03,14560
Maharashtra,2002-03,40474
Orissa,2002-03,10015
Punjab,2002-03,14825
Rajasthan,2002-03,17016
Tamil Nadu,2002-03,25688
Uttar Pradesh,2002-03,32939
West Bengal,2002-03,23161
Arunachal Pradesh,2002-03,1031
Assam,2002-03,7113
Himachal Pradesh,2002-03,5141
Jammu and Kashmir,2002-03,6413
Manipur,2002-03,1415
Meghalaya,2002-03,1205
Mizoram,2002-03,1131
Nagaland,2002-03,1506
Sikkim,2002-03,1883
Tripura,2002-03,1961
Uttarakhand,2002-03,3676
NCT Delhi,2002-03,4598
Puducherry,2002-03,–
Andhra Pradesh,2003-04,29830
Bihar,2003-04,14632
Chhattisgarh,2003-04,6600
Goa,2003-04,1764
Gujarat,2003-04,21954
Haryana,2003-04,10117
Jharkhand,2003-04,7302
Karnataka,2003-04,21285
Kerala,2003-04,15496
Madhya Pradesh,2003-04,18765
Maharashtra,2003-04,42680
Orissa,2003-04,10861
Punjab,2003-04,15702
Rajasthan,2003-04,18848
Tamil Nadu,2003-04,25271
Uttar Pradesh,2003-04,50221
West Bengal,2003-04,25757
Arunachal Pradesh,2003-04,1392
Assam,2003-04,8450
Himachal Pradesh,2003-04,5588
Jammu and Kashmir,2003-04,6596
Manipur,2003-04,1463
Meghalaya,2003-04,1314
Mizoram,2003-04,1288
Nagaland,2003-04,1813
Sikkim,2003-04,1181
Tripura,2003-04,2062
Uttarakhand,2003-04,4362
NCT Delhi,2003-04,5087
Puducherry,2003-04,–
Andhra Pradesh,2004-05,31307
Bihar,2004-05,14638
Chhattisgarh,2004-05,7103
Goa,2004-05,1943
Gujarat,2004-05,24302
Haryana,2004-05,11407
Jharkhand,2004-05,8419
Karnataka,2004-05,24932
Kerala,2004-05,17169
Madhya Pradesh,2004-05,18026
Maharashtra,2004-05,51047
Orissa,2004-05,12372
Punjab,2004-05,17198
Rajasthan,2004-05,19906
Tamil Nadu,2004-05,29155
Uttar Pradesh,2004-05,44610
West Bengal,2004-05,28146
Arunachal Pradesh,2004-05,1510
Assam,2004-05,10229
Himachal Pradesh,2004-05,5793
Jammu and Kashmir,2004-05,8188
Manipur,2004-05,1651
Meghalaya,2004-05,1596
Mizoram,2004-05,1394
Nagaland,2004-05,1685
Sikkim,2004-05,1723
Tripura,2004-05,2183
Uttarakhand,2004-05,5036
NCT Delhi,2004-05,5827
Puducherry,2004-05,–
Andhra Pradesh,2005-06,34915
Bihar,2005-06,17756
Chhattisgarh,2005-06,7457
Goa,2005-06,2191
Gujarat,2005-06,25465
Haryana,2005-06,12640
Jharkhand,2005-06,9756
Karnataka,2005-06,28041
Kerala,2005-06,18424
Madhya Pradesh,2005-06,20563
Maharashtra,2005-06,52280
Orissa,2005-06,13604
Punjab,2005-06,18208
Rajasthan,2005-06,21499
Tamil Nadu,2005-06,32009
Uttar Pradesh,2005-06,46617
West Bengal,2005-06,31117
Arunachal Pradesh,2005-06,1668
Assam,2005-06,10536
Himachal Pradesh,2005-06,6466
Jammu and Kashmir,2005-06,9724
Manipur,2005-06,2005
Meghalaya,2005-06,1674
Mizoram,2005-06,1588
Nagaland,2005-06,2061
Sikkim,2005-06,1768
Tripura,2005-06,2392
Uttarakhand,2005-06,5611
NCT Delhi,2005-06,6515
Puducherry,2005-06,1794
Andhra Pradesh,2006-07,41438
Bihar,2006-07,20585
Chhattisgarh,2006-07,8802
Goa,2006-07,2468
Gujarat,2006-07,29232
Haryana,2006-07,16362
Jharkhand,2006-07,11234
Karnataka,2006-07,33435
Kerala,2006-07,20825
Madhya Pradesh,2006-07,22363
Maharashtra,2006-07,61385
Orissa,2006-07,15772
Punjab,2006-07,18544
Rajasthan,2006-07,24954
Tamil Nadu,2006-07,38265
Uttar Pradesh,2006-07,55699
West Bengal,2006-07,34161
Arunachal Pradesh,2006-07,1897
Assam,2006-07,11457
Himachal Pradesh,2006-07,7644
Jammu and Kashmir,2006-07,10067
Manipur,2006-07,2415
Meghalaya,2006-07,1908
Mizoram,2006-07,1717
Nagaland,2006-07,2222
Sikkim,2006-07,1888
Tripura,2006-07,2483
Uttarakhand,2006-07,6477
NCT Delhi,2006-07,7755
Puducherry,2006-07,1927
Andhra Pradesh,2007-08,53984
Bihar,2007-08,23565
Chhattisgarh,2007-08,10840
Goa,2007-08,2778
Gujarat,2007-08,33540
Haryana,2007-08,17527
Jharkhand,2007-08,13096
Karnataka,2007-08,37375
Kerala,2007-08,24892
Madhya Pradesh,2007-08,25601
Maharashtra,2007-08,64780
Orissa,2007-08,17723
Punjab,2007-08,23061
Rajasthan,2007-08,29128
Tamil Nadu,2007-08,42975
Uttar Pradesh,2007-08,65223
West Bengal,2007-08,38314
Arunachal Pradesh,2007-08,2260
Assam,2007-08,12744
Himachal Pradesh,2007-08,8292
Jammu and Kashmir,2007-08,11685
Manipur,2007-08,2293
Meghalaya,2007-08,2254
Mizoram,2007-08,1908
Nagaland,2007-08,2572
Sikkim,2007-08,2349
Tripura,2007-08,2794
Uttarakhand,2007-08,7255
NCT Delhi,2007-08,9771
Puducherry,2007-08,2201
Andhra Pradesh,2008-09(RE),67619
Bihar,2008-09(RE),32883
Chhattisgarh,2008-09(RE),15729
Goa,2008-09(RE),3723
Gujarat,2008-09(RE),39415
Haryana,2008-09(RE),21715
Jharkhand,2008-09(RE),15479
Karnataka,2008-09(RE),42050
Kerala,2008-09(RE),28792
Madhya Pradesh,2008-09(RE),31779
Maharashtra,2008-09(RE),78607
Orissa,2008-09(RE),26050
Punjab,2008-09(RE),26731
Rajasthan,2008-09(RE),34666
Tamil Nadu,2008-09(RE),55403
Uttar Pradesh,2008-09(RE),81041
West Bengal,2008-09(RE),53455
Arunachal Pradesh,2008-09(RE),2912
Assam,2008-09(RE),21421
Himachal Pradesh,2008-09(RE),9720
Jammu and Kashmir,2008-09(RE),12447
Manipur,2008-09(RE),2820
Meghalaya,2008-09(RE),3180
Mizoram,2008-09(RE),2463
Nagaland,2008-09(RE),3075
Sikkim,2008-09(RE),2381
Tripura,2008-09(RE),3455
Uttarakhand,2008-09(RE),8154
NCT Delhi,2008-09(RE),12403
Puducherry,2008-09(RE),3152
Andhra Pradesh,2009-10(BE),76557
Bihar,2009-10(BE),35715
Chhattisgarh,2009-10(BE),18091
Goa,2009-10(BE),4485
Gujarat,2009-10(BE),45728
Haryana,2009-10(BE),25821
Jharkhand,2009-10(BE),18213
Karnataka,2009-10(BE),47238
Kerala,2009-10(BE),31162
Madhya Pradesh,2009-10(BE),38262
Maharashtra,2009-10(BE),96184
Orissa,2009-10(BE),28919
Punjab,2009-10(BE),30306
Rajasthan,2009-10(BE),39677
Tamil Nadu,2009-10(BE),59295
Uttar Pradesh,2009-10(BE),92867
West Bengal,2009-10(BE),60253
Arunachal Pradesh,2009-10(BE),3607
Assam,2009-10(BE),29270
Himachal Pradesh,2009-10(BE),10222
Jammu and Kashmir,2009-10(BE),14726
Manipur,2009-10(BE),3056
Meghalaya,2009-10(BE),3588
Mizoram,2009-10(BE),2832
Nagaland,2009-10(BE),3170
Sikkim,2009-10(BE),2567
Tripura,2009-10(BE),4267
Uttarakhand,2009-10(BE),11161
NCT Delhi,2009-10(BE),13703
Puducherry,2009-10(BE),3194
