State,Year,Value
Chhattisgarh,2000-01,305
Goa,2000-01,253
Gujarat,2000-01,5134
Haryana,2000-01,1978
Jharkhand,2000-01,–
Karnataka,2000-01,2979
Kerala,2000-01,1271
Madhya Pradesh,2000-01,1938
Maharashtra,2000-01,4807
Orissa,2000-01,2219
Punjab,2000-01,2398
Rajasthan,2000-01,2459
Tamil Nadu,2000-01,2685
Uttar Pradesh,2000-01,5649
West Bengal,2000-01,4637
Arunachal Pradesh,2000-01,298
Assam,2000-01,1214
Himachal Pradesh,2000-01,939
Jammu and Kashmir,2000-01,1144
Manipur,2000-01,250
Meghalaya,2000-01,344
Mizoram,2000-01,266
Nagaland,2000-01,415
Sikkim,2000-01,184
Tripura,2000-01,401
Uttarakhand,2000-01,197
NCT Delhi,2000-01,3666
Puducherry,2000-01,–
Andhra Pradesh,2001-02,6348
Bihar,2001-02,2309
Chhattisgarh,2001-02,710
Goa,2001-02,252
Gujarat,2001-02,2933
Haryana,2001-02,2072
Jharkhand,2001-02,1935
Karnataka,2001-02,3332
Kerala,2001-02,1470
Madhya Pradesh,2001-02,2591
Maharashtra,2001-02,4198
Orissa,2001-02,2187
Punjab,2001-02,2982
Rajasthan,2001-02,3046
Tamil Nadu,2001-02,3261
Uttar Pradesh,2001-02,6324
West Bengal,2001-02,4684
Arunachal Pradesh,2001-02,351
Assam,2001-02,1704
Himachal Pradesh,2001-02,1093
Jammu and Kashmir,2001-02,1927
Manipur,2001-02,779
Meghalaya,2001-02,238
Mizoram,2001-02,205
Nagaland,2001-02,568
Sikkim,2001-02,245
Tripura,2001-02,653
Uttarakhand,2001-02,465
NCT Delhi,2001-02,3587
Puducherry,2001-02,–
Andhra Pradesh,2002-03,8316
Bihar,2002-03,3727
Chhattisgarh,2002-03,1292
Goa,2002-03,401
Gujarat,2002-03,5481
Haryana,2002-03,1240
Jharkhand,2002-03,2072
Karnataka,2002-03,5260
Kerala,2002-03,2211
Madhya Pradesh,2002-03,4429
Maharashtra,2002-03,6743
Orissa,2002-03,3252
Punjab,2002-03,2511
Rajasthan,2002-03,4526
Tamil Nadu,2002-03,4469
Uttar Pradesh,2002-03,9148
West Bengal,2002-03,4555
Arunachal Pradesh,2002-03,332
Assam,2002-03,1824
Himachal Pradesh,2002-03,1475
Jammu and Kashmir,2002-03,2325
Manipur,2002-03,742
Meghalaya,2002-03,384
Mizoram,2002-03,274
Nagaland,2002-03,411
Sikkim,2002-03,249
Tripura,2002-03,576
Uttarakhand,2002-03,1173
NCT Delhi,2002-03,5615
Puducherry,2002-03,–
Andhra Pradesh,2003-04,10290
Bihar,2003-04,4501
Chhattisgarh,2003-04,2351
Goa,2003-04,653
Gujarat,2003-04,11032
Haryana,2003-04,5005
Jharkhand,2003-04,2436
Karnataka,2003-04,7982
Kerala,2003-04,4273
Madhya Pradesh,2003-04,5158
Maharashtra,2003-04,18354
Orissa,2003-04,4704
Punjab,2003-04,4633
Rajasthan,2003-04,7021
Tamil Nadu,2003-04,8494
Uttar Pradesh,2003-04,19220
West Bengal,2003-04,12664
Arunachal Pradesh,2003-04,800
Assam,2003-04,2146
Himachal Pradesh,2003-04,2508
Jammu and Kashmir,2003-04,2221
Manipur,2003-04,857
Meghalaya,2003-04,456
Mizoram,2003-04,538
Nagaland,2003-04,571
Sikkim,2003-04,296
Tripura,2003-04,702
Uttarakhand,2003-04,1845
NCT Delhi,2003-04,6633
Puducherry,2003-04,–
Andhra Pradesh,2004-05,15845
Bihar,2004-05,5416
Chhattisgarh,2004-05,2544
Goa,2004-05,598
Gujarat,2004-05,10598
Haryana,2004-05,3035
Jharkhand,2004-05,3217
Karnataka,2004-05,9315
Kerala,2004-05,3106
Madhya Pradesh,2004-05,11386
Maharashtra,2004-05,21622
Orissa,2004-05,3513
Punjab,2004-05,3796
Rajasthan,2004-05,9001
Tamil Nadu,2004-05,12625
Uttar Pradesh,2004-05,14514
West Bengal,2004-05,5348
Arunachal Pradesh,2004-05,576
Assam,2004-05,4516
Himachal Pradesh,2004-05,2242
Jammu and Kashmir,2004-05,2939
Manipur,2004-05,949
Meghalaya,2004-05,474
Mizoram,2004-05,423
Nagaland,2004-05,591
Sikkim,2004-05,438
Tripura,2004-05,802
Uttarakhand,2004-05,1330
NCT Delhi,2004-05,7047
Puducherry,2004-05,–
Andhra Pradesh,2005-06,13391
Bihar,2005-06,4812
Chhattisgarh,2005-06,2268
Goa,2005-06,658
Gujarat,2005-06,8769
Haryana,2005-06,2190
Jharkhand,2005-06,3661
Karnataka,2005-06,6932
Kerala,2005-06,2691
Madhya Pradesh,2005-06,8412
Maharashtra,2005-06,16397
Orissa,2005-06,2143
Punjab,2005-06,2244
Rajasthan,2005-06,5721
Tamil Nadu,2005-06,6736
Uttar Pradesh,2005-06,13222
West Bengal,2005-06,9471
