State,Year,Value
Nagaland,2000-01,359
Sikkim,2000-01,51
Tripura,2000-01,445
Uttarakhand,2000-01,136
NCT Delhi,2000-01,1610
Puducherry,2000-01,–
Andhra Pradesh,2001-02,6723
Bihar,2001-02,4010
Chhattisgarh,2001-02,1061
Goa,2001-02,413
Gujarat,2001-02,6511
Haryana,2001-02,2740
Jharkhand,2001-02,1643
Karnataka,2001-02,5870
Kerala,2001-02,3269
Madhya Pradesh,2001-02,3649
Maharashtra,2001-02,10898
Orissa,2001-02,3964
Punjab,2001-02,4958
Rajasthan,2001-02,5748
Tamil Nadu,2001-02,4739
Uttar Pradesh,2001-02,9898
West Bengal,2001-02,11804
Arunachal Pradesh,2001-02,275
Assam,2001-02,1448
Himachal Pradesh,2001-02,1511
Jammu and Kashmir,2001-02,748
Manipur,2001-02,340
Meghalaya,2001-02,221
Mizoram,2001-02,422
Nagaland,2001-02,366
Sikkim,2001-02,67
Tripura,2001-02,538
Uttarakhand,2001-02,424
NCT Delhi,2001-02,1733
Puducherry,2001-02,–
Andhra Pradesh,2002-03,7625
Bihar,2002-03,4911
Chhattisgarh,2002-03,973
Goa,2002-03,379
Gujarat,2002-03,6080
Haryana,2002-03,1471
Jharkhand,2002-03,2187
Karnataka,2002-03,5281
Kerala,2002-03,4994
Madhya Pradesh,2002-03,4062
Maharashtra,2002-03,14290
Orissa,2002-03,2816
Punjab,2002-03,4401
Rajasthan,2002-03,6114
Tamil Nadu,2002-03,6742
Uttar Pradesh,2002-03,9497
West Bengal,2002-03,10569
Arunachal Pradesh,2002-03,214
Assam,2002-03,928
Himachal Pradesh,2002-03,2342
Jammu and Kashmir,2002-03,1245
Manipur,2002-03,249
Meghalaya,2002-03,161
Mizoram,2002-03,315
Nagaland,2002-03,443
Sikkim,2002-03,10
Tripura,2002-03,537
Uttarakhand,2002-03,889
NCT Delhi,2002-03,2396
Puducherry,2002-03,–
Andhra Pradesh,2003-04,7450
Bihar,2003-04,4107
Chhattisgarh,2003-04,2204
Goa,2003-04,445
Gujarat,2003-04,9161
Haryana,2003-04,2933
Jharkhand,2003-04,1658
Karnataka,2003-04,4501
Kerala,2003-04,5539
Madhya Pradesh,2003-04,7323
Maharashtra,2003-04,17929
Orissa,2003-04,3573
Punjab,2003-04,4880
Rajasthan,2003-04,7372
Tamil Nadu,2003-04,5591
Uttar Pradesh,2003-04,16648
West Bengal,2003-04,12870
Arunachal Pradesh,2003-04,250
Assam,2003-04,1394
Himachal Pradesh,2003-04,2384
Jammu and Kashmir,2003-04,-17
Manipur,2003-04,286
Meghalaya,2003-04,202
Mizoram,2003-04,306
Nagaland,2003-04,-157
Sikkim,2003-04,50
Tripura,2003-04,341
Uttarakhand,2003-04,1407
NCT Delhi,2003-04,2439
Puducherry,2003-04,–
Andhra Pradesh,2004-05,8192
Bihar,2004-05,1242
Chhattisgarh,2004-05,1232
Goa,2004-05,551
Gujarat,2004-05,8696
Haryana,2004-05,1206
Jharkhand,2004-05,3648
Karnataka,2004-05,3600
Kerala,2004-05,4452
Madhya Pradesh,2004-05,6492
Maharashtra,2004-05,18620
Orissa,2004-05,1366
Punjab,2004-05,4036
Rajasthan,2004-05,6146
Tamil Nadu,2004-05,5570
Uttar Pradesh,2004-05,12998
West Bengal,2004-05,10653
Arunachal Pradesh,2004-05,386
Assam,2004-05,2057
Himachal Pradesh,2004-05,1810
Jammu and Kashmir,2004-05,1008
Manipur,2004-05,449
Meghalaya,2004-05,313
Mizoram,2004-05,234
Nagaland,2004-05,218
Sikkim,2004-05,186
Tripura,2004-05,240
Uttarakhand,2004-05,2171
NCT Delhi,2004-05,1483
Puducherry,2004-05,–
Andhra Pradesh,2005-06,8300
Bihar,2005-06,3700
Chhattisgarh,2005-06,425
Goa,2005-06,603
Gujarat,2005-06,6270
Haryana,2005-06,286
Jharkhand,2005-06,4918
Karnataka,2005-06,3687
Kerala,2005-06,4182
Madhya Pradesh,2005-06,4572
Maharashtra,2005-06,17630
Orissa,2005-06,276
Punjab,2005-06,2656
Rajasthan,2005-06,5150
Tamil Nadu,2005-06,2251
Uttar Pradesh,2005-06,10078
West Bengal,2005-06,9601
Arunachal Pradesh,2005-06,256
Assam,2005-06,-356
Himachal Pradesh,2005-06,720
Jammu and Kashmir,2005-06,1588
Manipur,2005-06,271
Meghalaya,2005-06,179
Mizoram,2005-06,397
Nagaland,2005-06,306
Sikkim,2005-06,149
Tripura,2005-06,110
Uttarakhand,2005-06,1878
