State,Year,Value
Jharkhand,2000-01,–
Karnataka,2000-01,7541
Kerala,2000-01,5242
Madhya Pradesh,2000-01,7153
Maharashtra,2000-01,15429
Orissa,2000-01,4065
Punjab,2000-01,3887
Rajasthan,2000-01,7224
Tamil Nadu,2000-01,9618
Uttar Pradesh,2000-01,12135
West Bengal,2000-01,9623
Arunachal Pradesh,2000-01,325
Assam,2000-01,3077
Himachal Pradesh,2000-01,1963
Jammu and Kashmir,2000-01,2044
Manipur,2000-01,449
Meghalaya,2000-01,578
Mizoram,2000-01,505
Nagaland,2000-01,585
Sikkim,2000-01,259
Tripura,2000-01,896
Uttarakhand,2000-01,355
NCT Delhi,2000-01,3000
Puducherry,2000-01,–
Andhra Pradesh,2001-02,10876
Bihar,2001-02,5783
Chhattisgarh,2001-02,2435
Goa,2001-02,543
Gujarat,2001-02,9029
Haryana,2001-02,3675
Jharkhand,2001-02,3727
Karnataka,2001-02,7642
Kerala,2001-02,4932
Madhya Pradesh,2001-02,6007
Maharashtra,2001-02,15452
Orissa,2001-02,4122
Punjab,2001-02,3730
Rajasthan,2001-02,7730
Tamil Nadu,2001-02,9190
Uttar Pradesh,2001-02,12279
West Bengal,2001-02,9581
Arunachal Pradesh,2001-02,449
Assam,2001-02,3035
Himachal Pradesh,2001-02,1912
Jammu and Kashmir,2001-02,2321
Manipur,2001-02,550
Meghalaya,2001-02,565
Mizoram,2001-02,542
Nagaland,2001-02,544
Sikkim,2001-02,314
Tripura,2001-02,968
Uttarakhand,2001-02,1320
NCT Delhi,2001-02,2989
Puducherry,2001-02,–
Andhra Pradesh,2002-03,11179
Bihar,2002-03,6466
Chhattisgarh,2002-03,2820
Goa,2002-03,626
Gujarat,2002-03,8177
Haryana,2002-03,2810
Jharkhand,2002-03,4904
Karnataka,2002-03,7570
Kerala,2002-03,6338
Madhya Pradesh,2002-03,7158
Maharashtra,2002-03,15704
Orissa,2002-03,4210
Punjab,2002-03,2990
Rajasthan,2002-03,8032
Tamil Nadu,2002-03,9662
Uttar Pradesh,2002-03,13103
West Bengal,2002-03,8463
Arunachal Pradesh,2002-03,421
Assam,2002-03,3233
Himachal Pradesh,2002-03,1973
Jammu and Kashmir,2002-03,2518
Manipur,2002-03,562
Meghalaya,2002-03,570
Mizoram,2002-03,562
Nagaland,2002-03,567
Sikkim,2002-03,348
Tripura,2002-03,974
Uttarakhand,2002-03,1708
NCT Delhi,2002-03,3492
Puducherry,2002-03,–
Andhra Pradesh,2003-04,13367
Bihar,2003-04,7023
Chhattisgarh,2003-04,3244
